name,phone,email,address,city,country,category,rating,reviews,gmb_url,has_website,website_url,lead_type,seo_score,seo_issues
Capital Appliance Care,,,"90 Abel Smith Street, Aro Valley, Wellington 6011, New Zealand",wellington,New Zealand,Appliance repair service,,,"https://www.google.com/maps/place/Capital+Appliance+Care/@-41.2956139,174.7727944,17z/data=!3m1!4b1!4m6!3m5!1s0x6d38b0277a27a543:0xd01377ae5e09e486!8m2!3d-41.2956139!4d174.7727944!16s%2Fg%2F11j4sv5296?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDMxMC4wIKXMDSoASAFQAw%3D%3D",No,,no_website,,
Tharcold Appliance Services,,,"1 Glover Street, Ngauranga, Wellington 6035, New Zealand",wellington,New Zealand,Appliance repair service,1.0,1,"https://www.google.com/maps/place/Tharcold+Appliance+Services/@-41.2421449,174.8127807,17z/data=!3m1!4b1!4m6!3m5!1s0x6d38add502e53c1b:0xfbf27edbe4539df0!8m2!3d-41.2421449!4d174.8127807!16s%2Fg%2F11hd_hb126?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDMxMC4wIKXMDSoASAFQAw%3D%3D",No,,no_website,,
Dewar Appliance Repairs,+64 4 568 2550,,,wellington,New Zealand,Appliance repair service,4.8,4,"https://www.google.com/maps/place/Dewar+Appliance+Repairs/@-41.1658759,174.9597026,10z/data=!3m1!4b1!4m6!3m5!1s0x6d38abbdc8461d8b:0x812fd993982eaec3!8m2!3d-41.1658759!4d174.9597026!16s%2Fg%2F1tl8kx7j?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDMxMC4wIKXMDSoASAFQAw%3D%3D",Yes,http://www.dewarappliances.co.nz/,poor_seo,42,No meta description; No H1 heading; No HTTPS (insecure); 8 images missing alt
Frontline Appliances,+64 4 589 5104,,,wellington,New Zealand,Appliance repair service,4.7,4,"https://www.google.com/maps/place/Frontline+Appliances/@-41.2034636,174.8500996,11z/data=!3m1!4b1!4m6!3m5!1s0x6d38aba862c97d11:0x4567c547196d0cda!8m2!3d-41.2034636!4d174.8500996!16s%2Fg%2F11b5wq50lv?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDMxMC4wIKXMDSoASAFQAw%3D%3D",Yes,http://frontlineappliances.co.nz/,poor_seo,58,No HTTPS (insecure); Not mobile-friendly; No schema markup; No canonical tag
Wellington Appliance Servicing LTD,+64 4 260 2066,,"509 High Street, Hutt Central, Lower Hutt 5010, New Zealand",wellington,New Zealand,Small appliance repair service,5.0,5,"https://www.google.com/maps/place/Wellington+Appliance+Servicing+LTD/@-41.2049612,174.9118406,17z/data=!3m1!4b1!4m6!3m5!1s0x6d38ab6a5cea7035:0x3c19c13a29ce72b!8m2!3d-41.2049612!4d174.9118406!16s%2Fg%2F11hjk6k9xp?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDMxMC4wIKXMDSoASAFQAw%3D%3D",Yes,http://www.wellingtonapplianceservicing.co.nz/,poor_seo,45,Title too long; No meta description; No HTTPS (insecure); 15 images missing alt; No schema markup
Thermo King Wellington,+64 4 381 3927,,"31 Broken Hill Road, Kenepuru, Porirua 5022, New Zealand",wellington,New Zealand,Refrigerator repair service,5.0,5,"https://www.google.com/maps/place/Thermo+King+Wellington/@-41.1525087,174.8243922,17z/data=!3m1!4b1!4m6!3m5!1s0x6d3f53002230c869:0x68dd6fbe469ce783!8m2!3d-41.1525087!4d174.8243922!16s%2Fg%2F11y4mj9fry?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDMxMC4wIKXMDSoASAFQAw%3D%3D",Yes,http://www.thermoking.co.nz/,poor_seo,43,Title too short; No meta description; No HTTPS (insecure); No schema markup; No canonical tag
Coastal Electronics Wellington,+64 4 471 2400,,"Unit 9/4 Glover Street, Ngauranga, Wellington 6035, New Zealand",wellington,New Zealand,Refrigerator repair service,2.8,2,"https://www.google.com/maps/place/Coastal+Electronics+Wellington/@-41.2407594,174.813966,17z/data=!3m1!4b1!4m6!3m5!1s0x6d40a1143488a3a7:0x6d1a28394ae6c9cc!8m2!3d-41.2407594!4d174.813966!16s%2Fg%2F1tj96m1k?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDMxMC4wIKXMDSoASAFQAw%3D%3D",Yes,http://www.coastalelectronics.co.nz/,poor_seo,30,Title too long; No meta description; No H1 heading; No HTTPS (insecure); 49 images missing alt; No schema markup
